source_row;data_hora_brt;id_midia;legenda;impressoes;alcance;curtidas;comentarios;compartilhamentos;salvamentos;visitas_perfil;seguidores_gerados;toques_link_externo;interacoes_calculadas;origem;source_blob_sha;status_validacao
54;2025-11-06T17:35:16-03:00;18189247138327887;"O 1º Treinamento Integrado do PAMRV - ocorrido nesta quinta-feira (06) - reforça o compromisso conjunto entre o Corpo de Bombeiros Militar do Estado de Goiás (CBMGO) e as empresas participantes em prol da segurança de todos.

Com a presença de profissionais da área de Segurança do Trabalho, o treinamento técnico proporcionou troca de experiências e aprimoramento das práticas de resposta a emergências.

A ACIRV tem orgulho de apoiar e acompanhar esta iniciativa desde o seu início, reconhecendo que a integração entre o poder público e a iniciativa privada é essencial para fortalecer a capacidade de prevenção e atuação do nosso município.

#ACIRVapoia #ACIRVePAMRV #EmergênciasEIncêndios #RioVerde";206;191;7;0;0;0;0;0;;7;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
55;2025-11-06T15:43:27-03:00;18029058449544150;"8 mil vozes, ideias e negócios conectados por um mesmo propósito: fortalecer quem empreende! 

Nosso MUITO OBRIGADO a cada um por fazer parte dessa história que estamos construindo 💙

#SomosACIRV #EmpreenderTransforma";225;205;9;0;1;0;6;0;1;10;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
56;2025-11-05T07:40:53-03:00;17962748763004216;"Faltam poucas horas para aproveitar o valor atual!

O 1º Fórum de IA da ACIRV está chegando e o lote muda HOJE!

Quer estar por dentro das inovações que estão transformando o mercado? Então já garanta seu ingresso com preço especial!

O evento será: 

📅 12 de novembro
🕢 7h30 às 18h
📍 Na ACIRV (rua Dona Maricota, 199 - Setor Marconal)

🎟️ O preço do ingresso muda hoje para associados e não associados.

Vale reforçar que o evento é 100% presencial. Clique aqui, acompanhe a programação completa e adquira seu ingresso: https://shre.ink/primeiroforumdeiadaacirv.

#ACIRVeventos #FórumDeIAdaACIRV #InteligênciaArtificial #RioVerde";414;348;12;0;1;0;1;0;;13;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
57;2025-11-04T10:00:04-03:00;18063011090426308;"📢 Uma conexão que transforma!

A ACIRV, por meio do Núcleo Setorial da Saúde, convida você para um evento feito para gerar networking, parceria e crescimento entre profissionais da Saúde.

🩺 Conecta Saúde

📅 04 de dezembro 
🕕 18h30
📍 ACIRV (rua Dona Maricota, 199 - Setor Marconal)

🔒 Exclusivo para profissionais e negócios do setor da Saúde.

💬 Inscreva-se pelos canais oficiais da ACIRV.

#ACIRVeventos #ConectaSaúde #SetorDaSaúde #RioVerde";940;769;24;0;7;0;1;1;1;31;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
58;2025-11-03T16:27:25-03:00;18089310905478739;"Já pensou em transformar cada interação com seu cliente em uma oportunidade de sucesso?

A ACIRV - em parceria com o SEBRAE - traz para você a oficina “In Book - Sucesso do Cliente”, um encontro prático para quem quer criar conexões mais fortes e duradouras com o público.

Aprenda a aplicar o mindset de Customer Success para fidelizar, gerar valor e conquistar melhores resultados.

📅 04 de novembro
🕖 19h
📍 ACIRV (rua Dona Maricota, 199 - Jardim Marconal)

Vamos juntos aprender a:
✅ Ser mais proativo no atendimento;
✅ Construir relações genuínas;
✅ Enxergar o processo de vendas de forma completa.

Vale reforçar que as inscrições são gratuitas, mas as vagas são limitadas. Faça sua inscrição pelo link: https://shre.ink/oficinasebraesucessodocliente.";451;305;4;0;1;1;1;2;1;6;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
59;2025-11-03T12:21:41-03:00;18057819101257411;"O Fórum que vai conectar Inteligência Artificial e negócios está chegando!

Mas atenção: o lote muda em 2 dias - e os ingressos estão voando!

Garanta já sua vaga no 1º Fórum de IA da ACIRV.

🗓️ 12 de novembro
🕖 7h30 às 18h 
📍ACIRV (rua Dona Maricota, 199 - Setor Marconal) 

Veja a programação e garanta seu ingresso pelo link:  https://shre.ink/primeiroforumdeiadaacirv.";391;335;10;0;3;0;1;0;1;13;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
60;2025-11-01T09:30:49-03:00;18005578574816850;"Novembro Azul é um lembrete importante: cuidar da saúde também é um ato de coragem.

Segundo a Sociedade Brasileira de Urologia (SBU), quando o câncer de próstata é detectado precocemente, as chances de cura podem chegar a 98%.

Mesmo assim, o Instituto Nacional de Câncer (Inca) estima que mais de 71 mil novos casos surjam no Brasil apenas este ano. Em 2023, a doença foi responsável por 17.093 mortes, uma média de 47 vidas perdidas por dia.

A ACIRV apoia a campanha Novembro Azul, reforçando a importância da prevenção e do diagnóstico precoce. Cuidar da saúde é o melhor investimento que o homem pode fazer em si mesmo! 💙

ACIRVapoia #NovembroAzul #SaúdeDoHomem #PrevençãoÉACura #RioVerde";257;238;7;2;1;0;0;0;;10;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
61;2025-10-29T17:05:10-03:00;18089305405931075;"Tem novidade chegando na ACIRV! 

É com alegria que damos boas-vindas à nova associada Andréa Tartuce Advocacia (@andreatartuceadv).
Com experiência nas áreas de Direito Tributário, Sucessório, Contratual e Planejamento Patrimonial, o escritório se destaca por oferecer soluções jurídicas completas e personalizadas.

Seja muito bem-vinda, Andréa! Que essa parceria traga ainda mais conexões e crescimento para todos nós.

#ACIRVassociados #ACIRVeAndréaTartuceAdvocacia #Direito #RioVerde";785;671;45;6;2;0;4;0;;53;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
62;2025-10-24T18:40:52-03:00;18063201704574046;"Hoje foi dia de celebrar conquistas! 

O presidente da ACIRV José Carlos Cintra esteve com a equipe do Grupo Futura, empresa associada que acaba de completar 10 anos de muito trabalho e crescimento.

Momentos como esse devem ser registrados. Diante disso, a associação segue incentivando o desenvolvimento e o fortalecimento das empresas rioverdenses.

#ACIRVassociados #ACIRVeGrupoFutura #10AnosGrupoFutura #RioVerde";2640;2304;78;8;2;1;1;2;;89;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
63;2025-10-24T18:20:24-03:00;17863885833498592;"A ACIRV parabeniza o Grupo Futura pelos seus 10 anos de trajetória!

Uma década construída com transparência, credibilidade e dedicação, sempre buscando oferecer o melhor aos clientes e parceiros.

Que esta caminhada de sucesso e crescimento continue inspirando o empreendedorismo em nossa região.

#ACIRVhomenageia #ACIRVassociados #ACIRVeGrupoFutura #RioVerde";1492;1193;28;10;36;0;0;0;;74;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
64;2025-10-24T17:35:19-03:00;17926986462116362;"A ACIRV tem mais uma parceira que chegou para gerar economia e sustentabilidade!

Seja bem-vinda, Poupp Energia (@poupp.oficial): a nossa mais nova especialista em reduzir os custos de energia elétrica de empresas e residências.

Ela traz soluções inteligentes que podem ajudar a diminuir até 30% da sua fatura de luz, sem complicação. 

Mais economia, mais eficiência, mais energia para investir no que importa!

#ACIRVassociados #ACIRVePouppEnergia #EnergiaInteligente #RioVerde";435;400;10;0;0;0;3;0;;10;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
65;2025-10-24T17:05:54-03:00;18077435333130157;"A ACIRV foi representada pelo vice-presidente de Comércio, Gustavo Lacerda - engenheiro eletricista e empresário do Setor Elétrico - no Workshop da Equatorial Goiás, realizado nesta semana, na sede da concessionária, em Goiânia. O encontro reuniu grandes consumidores do Grupo A, além de autoridades e representantes do Setor Elétrico Goiano, para discutir o tema “Otimização dos Custos da Fatura de Alta Tensão”.

A presença da ACIRV reforça o compromisso da entidade em acompanhar e contribuir com debates que influenciam diretamente a competitividade e a eficiência das empresas da região, especialmente aquelas com elevado consumo de energia. Estar presente nesses espaços é essencial para que a associação siga atuando em prol da redução de custos e da gestão inteligente dos recursos energéticos, fortalecendo o ambiente de negócios local.

Parabenizamos a Equatorial Goiás pela iniciativa e agradecemos pelo convite e pela oportunidade de participar desse importante diálogo!

#ACIRVreuniões #ACIRVeEquatorialGoiás #SetorElétrico #Goiás #RioVerde";648;609;16;2;0;0;2;0;;18;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
66;2025-10-22T18:05:54-03:00;18141850384439708;"Temos novidade boa por aqui!

Trata-se da Frutbras Pescados (@frutbras), uma empresa que une variedade, qualidade e praticidade em um só lugar: peixes frescos, polpas de frutas e uma linha completa de produtos orientais pra dar aquele toque especial às suas receitas.

Uma peixaria e empório que tem tudo para facilitar o seu dia a dia com muito sabor.

Seja bem-vinda, equipe Frutbras Pescados, à família ACIRV!

#ACIRVassociados #ACIRVeFrutbrasPescados #PeixariaeEmpório #RioVerde";522;498;21;1;0;0;6;0;;22;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
67;2025-10-22T17:05:18-03:00;18094716907835416;"Vem aí o Happy Hour dos Associados ACIRV!

Um encontro com música ao vivo, clima descontraído e a chance de fortalecer seu networking com outros(as) empresários(as) da região.

👥 Cada empresa pode levar até 2 participantes;
✅ Evento exclusivo para associados em dia com a ACIRV;
📞 Confirmação obrigatória: (64) 3620-0199;
⚠️ Vagas limitadas!

Participe e aproveite esse momento de troca e conexão!

#ACIRVeventos #HappyHourDosAssociados #DescontraçãoeNetworking #RioVerde";2417;1882;36;0;15;2;0;0;;53;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
68;2025-10-22T10:39:46-03:00;17930701746105727;"AÇÃO SOLIDÁRIA! Há 16 anos, o Projeto Sorriso Verdadeiro leva alegria, solidariedade e esperança a centenas de famílias em Rio Verde. Com ações que unem cidadania, saúde, lazer e amor, o projeto transforma bairros inteiros com tardes de cuidado e sorrisos sinceros. 💙

Neste ano, a ACIRV se junta à causa e se torna ponto oficial de coleta de brinquedos para a grande ação social de fim de ano, que acontecerá no dia 14 de dezembro, na Praça do Bairro Promissão.

Você pode participar doando brinquedos novos ou em bom estado até o dia 12/12, diretamente na sede da ACIRV.
Ou contribuir para a compra de brinquedos via pix: centrocomunitarioafrica@gmail.com. 

PS: O comprovante pix deve ser enviado para o WhatsApp da ACIRV (64)3620.0199 para controle. 

Vamos juntos transformar generosidade em alegria e fazer o Natal brilhar ainda mais forte em Rio Verde.

Não é apenas doação de brinquedos. 
Doe sorrisos. Doe esperança.
PARTICIPE! 🤍🧚🏼‍♀️👩🏿‍🤝‍👨🏾🦄🐞

#DoeSorrisos #NatalSolidário #ACIRV #SorrisoVerdadeiro #RioVerde #EmpresariadoComPropósito";1472;1117;32;2;6;0;5;1;2;40;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
69;2025-10-21T18:31:57-03:00;18094411234648440;"ATENÇÃO: Café Entre Amigos de outubro foi cancelado! 

Por motivo de saúde da nossa palestrante, o Café Entre Amigos, marcado para esta quinta-feira (23), não poderá acontecer.

A ACIRV se solidariza com a profissional e deseja uma breve recuperação.

Agradecemos pela compreensão e carinho de todos(as). Em breve, divulgaremos uma nova data para nos encontrarmos!

#ACIRVeventos  #CaféEntreAmigos #Comunicado #RioVerde";724;627;11;0;2;1;7;1;;14;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
70;2025-10-21T16:29:14-03:00;17912676003229206;"A inteligência artificial já está transformando o mundo dos negócios e agora é hora de colocar Rio Verde e o Sudoeste Goiano nessa revolução.
⠀
Participe do 1º Fórum de IA da ACIRV, um evento inédito que vai te mostrar, na prática, como usar a tecnologia para aumentar resultados, otimizar tempo e criar oportunidades.
⠀
📅 12 de novembro
📍 ACIRV – Rio Verde
🎟️ Vagas limitadas!
⠀
Faça sua inscrição pelo link na bio! 

#FórumIAACIRV #Inovação #InteligênciaArtificial #Empreendedorismo #Acirv";2636;1967;60;12;27;7;22;6;16;106;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
71;2025-10-20T17:05:08-03:00;17973197189940389;"Uma nova associada que leva seus sonhos mais longe!

A ACIRV dá as boas-vindas à JM Excursões de Turismo (@jmexcursoeseturismo), empresa que acaba de se tornar parte da nossa associação.

Com foco em excursões e viagens temáticas, a JM transforma cada roteiro em uma jornada única - seja para lazer, cultura ou diversão!

É um orgulho contar com mais um empreendimento inovador e comprometido com a excelência. Juntos, seguimos fortalecendo o turismo e os negócios em nossa cidade e região!

JM Excursões, seja muito bem-vinda à família ACIRV!

#ACIRVassociados #ACIRVeJMExcursões #TurismoCriativo #RioVerde";2184;1725;61;5;2;0;1;0;;68;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
72;2025-10-17T17:35:08-03:00;18099850897671409;"Uma nova força se une à ACIRV!

Apresentamos com entusiasmo a Camila Santos Assessorias e Treinamentos (@camilateixeira_santos_), referência no desenvolvimento de pessoas e empresas.

Criadora do inovador Método HumAna, Camila transforma atendimentos em experiências e vendas em conexões duradouras. Ela - juntamente com sua equipe - atua com mentorias estratégicas, treinamentos, palestras e workshops que fortalecem conexões e ampliam resultados.

Sua bagagem acadêmica inclui Administração, RH, Coaching e MBAs nas áreas de Gestão e Marketing, sendo um conhecimento aplicado na prática com foco em resultados humanos e reais.

Sejam bem-vindos(as) à ACIRV, Camila e sua equipe!  

#ACIRVassociados #ACIRVeCamilaSantos #DesenvolvimentoHumano #RioVerde";864;797;37;2;2;0;2;0;;41;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
73;2025-10-16T16:07:19-03:00;18055903496250438;"Encontros que inspiram e impulsionam!

No próximo 23 de outubro, às 7h30, você - empresário(a) de Rio Verde - tem um compromisso com o conhecimento e a rede de relacionamentos no nosso tradicional Café Entre Amigos.

Além de um delicioso café e ótimas conversas, teremos a palestra ""Criatividade: Como Desenvolver Confiança Criativa"", com a empresária da área de treinamentos Cláudia de Souza Silva - profissional cedida pelo SEBRAE - que vai trazer reflexões e aprendizados valiosos.

Vale lembrar que as vagas são limitadas. Desse modo, inscreva-se com antecedência pelo link: https://doity.com.br/caf-entre-amigos--como-desenvolver-confianca-criativa. 

Nos vemos na ACIRV para mais um encontro que faz a diferença!

#ACIRVeventos #CaféEntreAmigos #SEBRAE #RioVerde";737;636;26;3;12;3;4;1;;44;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
74;2025-10-15T17:08:21-03:00;18097370905786893;"Mais uma grande empresa chega para somar com a ACIRV!

Trata-se da CM Veículos (@cmveiculos.rv), empresa que se destaca no mercado goiano pela oferta de seminovos cuidadosamente selecionados, com procedência comprovada e garantia.

Além disso, oferece atendimento em todo o estado e condições facilitadas de financiamento para quem quer realizar o sonho do carro ideal.

Seja muito bem-vinda, família CM Veículos! 

#ACIRVassociados #ACIRVeCMVeículos #SetorAutomotivo #RioVerde";2235;1961;31;1;1;0;10;2;;33;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
75;2025-10-15T07:40:24-03:00;18074544869176759;"O desenvolvimento de uma cidade começa na sala de aula.

A ACIRV reconhece o papel essencial dos professores de Rio Verde e de todo o país na formação de cidadãos, profissionais e empreendedores do futuro.

👩‍🏫👨‍🏫 Feliz Dia dos Professores!

#ACIRVhomenageia #15DeOutubro #DiaDosProfessores #Educação #RioVerde";189;177;8;0;0;0;1;0;;8;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
76;2025-10-14T17:05:11-03:00;18050586812329507;"Novo associado na ACIRV!

A ACIRV dá as boas-vindas à Santiago Sociedade Individual de Advocacia (@euner.adv), referência em proteção e defesa jurídica para médicos.

A empresa atua com foco em prevenir riscos legais, orientar condutas profissionais e preservar a carreira de seus clientes com segurança e discrição.

É um orgulho ter ao nosso lado mais uma empresa que valoriza a excelência e a responsabilidade!

#ACIRVassociados #ACIRVESantiagoSociedadeIndividualDeAdvocacia #ProteçãoEDefesaJurídicaParaMédicos #RioVerde";860;776;56;0;0;0;2;0;;56;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
77;2025-10-13T17:05:39-03:00;18087959398900708;"Seja bem-vinda, Grão & Prosa Café!

É com alegria que damos as boas-vindas à Grão & Prosa Café (@graoeprosacafeteria), nova empresa associada da ACIRV! 

Com uma proposta única, a Grão & Prosa vai muito além da xícara: oferece um ambiente acolhedor em sua cafeteria física, além de levar o melhor dos cafés especiais até eventos com sua charmosa Estação Móvel.

Seja para um café no dia a dia ou para tornar eventos ainda mais especiais, a Grão & Prosa convida você a viver momentos cheios de sabor e boas conversas.

#ACIRVassociados #GrãoEProsaCafé #CaféComExperiência #EstaçãoMóvel #RioVerde";1472;1198;43;1;2;1;0;0;;47;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
78;2025-10-12T09:30:58-03:00;18079337033088431;"Neste Dia das Crianças, a ACIRV celebra o futuro que está sendo construído pelas mãos e sonhos dos pequenos de hoje.

Em nossa homenagem especial, reforçamos nosso compromisso com uma Rio Verde mais próspera, humana e cheia de oportunidades para todas as gerações.

Que possamos seguir cuidando e investindo em um amanhã mais feliz para nossas crianças!

👧👦 Feliz Dia das Crianças!

#ACIRVhomenageia #12DeOutubro #DiaDasCrianças #RioVerde";152;137;6;0;0;0;1;0;;6;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
79;2025-10-09T18:05:16-03:00;17962888952833662;"INSCRIÇÕES ENCERRADAS: AGRADECEMOS O INTERESSE E PARTICIPAÇÃO DE TODAS(OS)! 

Já parou para pensar que a presença digital da sua empresa pode ser o diferencial que falta para seu negócio decolar?!

Desse modo, a ACIRV - por meio do ACIRV Mulher e com o apoio do Sebrae - preparou uma oficina prática para te ajudar a transformar sua visibilidade em vendas!

🗓️ Data: 30 de outubro
⏰ Horário: às 8h
📍 Local: ACIRV (rua Dona Maricota, 199 - Jardim Marconal)

Dentro do cronograma, você poderá levar de experiência: entendimento sobre os novos hábitos de consumo; como se posicionar estrategicamente no ambiente digital; planejamento de Marketing voltado para resultados e criação de estratégias personalizadas para sua marca. 

Invista em conhecimento e tenha destaque no meio digital!

#ACIRVeventos #ACIRVeSEBRAE #ACIRVMulher #MarketingDigital #Vendas #RioVerde";1084;873;46;0;13;2;9;1;1;61;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
80;2025-10-09T17:20:02-03:00;18057168041549516;"Recebemos com entusiasmo a IDTAGG, nova associada da ACIRV!

Uma solução que já conquistou mais de 4.200 marcas com seu cartão digital interativo.

Com a IDTAGG (@idtaggoficial), conectar-se com clientes e gerar vendas é tão rápido quanto um toque.

Seja bem-vinda, IDTAGG!

#ACIRVassociados #IDTAGG #CartãoDigital #RioVerde";760;669;37;4;3;0;0;0;;44;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
81;2025-10-09T11:05:07-03:00;18084117014501653;"📢 Atenção, profissionais e lideranças da Saúde em Rio Verde!

O Núcleo Setorial de Saúde da ACIRV convida você para a apresentação do Plano de Ação construído coletivamente na Oficina de Planejamento Estratégico.

📅 Data: 15 de outubro
⏰ Horário: às 18h30
📍 Local: ACIRV (rua Dona Maricota, 199 - Jardim Marconal)

📝 Neste encontro, vamos compartilhar os resultados do trabalho realizado em conjunto, apresentar as prioridades definidas e alinhar os próximos passos para fortalecer o setor da Saúde em Rio Verde.

Sua presença é fundamental para validar, apoiar e dar vida às ações planejadas. 

Vale lembrar que para participar, é necessário realizar a inscrição pelo link: https://forms.gle/KEvkBgMRfAngWUaG7.

Seja você também, um protagonista na construção de um segmento mais organizado, inovador e preparado para o futuro!

#ACIRVeventos #NúcleoSetorialDeSaúdeDaSaúde #PlanoDeAção #ProfissionaisDeSaúde #RioVerde";588;535;13;0;3;1;4;1;;17;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
82;2025-10-09T09:01:18-03:00;18103498870543205;"Encerramos as inscrições para a 3ª edição do Conecta ACIRV!

Agradecemos a todos os que se inscreveram e demonstraram interesse em fazer parte deste grande movimento de conexão, inovação e empreendedorismo!

Nosso agradecimento especial aos patrocinadores que tornam este projeto possível. É com esse apoio que seguimos fortalecendo o ecossistema de negócios da nossa região.

Vale ressaltar, que os participantes selecionados para o evento desta quinta-feira (09), estão sendo notificados pela equipe do Conecta ACIRV. Portanto, fiquem atentos(as) aos contatos fornecidos no ato da inscrição!

ACIRVeventos #ConectaACIRV #Empreendedorismo #Negócios #RioVerde";666;576;21;0;3;0;4;0;;24;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
83;2025-10-08T18:05:02-03:00;17925504012015951;"🚨 ATENÇÃO: A ACIRV INFORMA QUE AS INSCRIÇÕES FORAM ENCERRADAS! 

Empreender também é saber sentir e decidir com inteligência emocional!

Participe da oficina gratuita promovida pela ACIRV - em parceria com o SEBRAE - e descubra como a inteligência emocional pode transformar sua forma de tomar decisões.

Será uma noite prática e enriquecedora para quem deseja:

✨ Tornar-se um(a) líder mais consciente;
✨ Tomar decisões com mais segurança;
✨ Usar as emoções a favor dos resultados.

📅 14 de outubro
⏰  às 19h
📍 ACIRV (rua Dona Maricota, 199 - Jardim Marconal)

#ACIRVeventos #ACIRVeSEBRAE #InteligênciaEmocional #OficinaEmpresarial #RioVerde";571;507;23;0;22;3;7;0;2;48;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
84;2025-10-07T17:05:39-03:00;18060744089391389;"Construir com inteligência é o que move a Macto Engenharia (@mactoengenharia), nossa mais nova associada!

Especializada na administração de obras e com foco em soluções eficientes, a empresa atua em Rio Verde e entrega resultados sólidos e bem planejados.

É uma honra tê-los conosco na ACIRV. Juntos, vamos mais longe! 

#ACIRVassociados #MactoEngenharia #EngenhariaInteligente #RioVerde";1481;1154;65;9;3;0;10;2;;77;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
85;2025-10-07T10:11:40-03:00;;;1584;1314;16;3;8;0;3;0;;27;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
